Symbol,inverted_hammer,hammer,hanging_man,bearish_harami,bullish_harami,dark_cloud_cover,doji,doji_star,dragonfly_doji,gravestone_doji,bearish_engulfing,bullish_engulfing,morning_star,morning_star_doji,piercing_pattern,rain_drop,rain_drop_doji,star,shooting_star
ETHUSDT,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
XRPUSDT,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
SOLUSDT,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
MATICUSDT,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
DOGEUSDT,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
LINKUSDT,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ATOMUSDT,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ETCUSDT,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ADAUSDT,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
NEARUSDT,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
CHZUSDT,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
APEUSDT,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
BNBUSDT,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ENSUSDT,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
LINAUSDT,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
AVAXUSDT,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
SUSHIUSDT,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
SANDUSDT,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
DOTUSDT,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
UNIUSDT,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
INJUSDT,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False
RSRUSDT,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
OPUSDT,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
LTCUSDT,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
CRVUSDT,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
LDOUSDT,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
GMTUSDT,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
AXSUSDT,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
BCHUSDT,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
EGLDUSDT,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
HNTUSDT,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
EOSUSDT,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
GALAUSDT,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
FTMUSDT,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
LITUSDT,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
AAVEUSDT,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ALGOUSDT,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
FILUSDT,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
UNFIUSDT,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
XLMUSDT,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
KNCUSDT,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
RUNEUSDT,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
GLMRUSDT,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
COTIUSDT,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
TRXUSDT,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
SLPUSDT,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
MANAUSDT,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
THETAUSDT,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
KAVAUSDT,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ICPUSDT,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
FLMUSDT,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
RENUSDT,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
TRBUSDT,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
DYDXUSDT,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
MKRUSDT,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
SNXUSDT,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
WAVESUSDT,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
CVXUSDT,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
MTLUSDT,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ZILUSDT,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
XTZUSDT,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
AGLDUSDT,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
ZECUSDT,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
HBARUSDT,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
