Symbol,Close,bb_high_price_%,rsi,roc,donchian_channel_wband,sma200_price_%,sma50_price_%,sma200_sma50_%,ema9_price_%,ema9_sma50_%,cumulative_return
ETHUSDT,1218.92,-8.27,45.0514,-2.7377,41.77,-18.09,-9.1,9.89,1.52,-11.68,-56.27
XRPUSDT,0.4036,-3.79,50.1714,3.8066,39.69,3.4,-7.36,-11.61,2.92,-11.09,-35.77
SOLUSDT,14.34,-27.35,37.0933,0.1397,142.96,-58.59,-41.21,29.57,1.63,-72.87,-86.97
MATICUSDT,0.8631,-19.24,47.1339,-8.3466,57.01,12.17,-4.24,-17.14,0.47,-4.92,-47.6
DOGEUSDT,0.10472,7.1,62.5295,20.2849,49.96,44.28,25.08,-15.35,18.15,5.54,-26.41
LINKUSDT,7.125,-5.47,54.2578,10.964,60.31,-0.51,1.13,1.62,5.64,-4.46,-58.04
ATOMUSDT,10.221,-14.41,44.3871,-3.1736,55.44,-7.21,-13.3,-7.02,1.61,-17.2,-64.56
ETCUSDT,20.09,-9.25,45.2023,-2.286,40.83,-21.26,-10.37,12.15,1.29,-13.01,-25.01
ADAUSDT,0.319,-12.55,40.9061,-5.4254,36.59,-30.54,-12.13,20.95,0.04,-13.85,-70.89
NEARUSDT,1.656,-31.04,30.7236,-16.3636,87.93,-58.06,-35.73,34.74,-2.19,-52.2,-85.23
CHZUSDT,0.1749,-32.65,41.3966,-20.967,66.43,5.04,-14.79,-23.28,-6.79,-9.39,-7.17
APEUSDT,3.902,1.49,55.1685,32.7662,62.97,-26.12,-4.18,22.9,13.65,-18.61,-54.2
BNBUSDT,313.3,-3.08,59.3618,13.1047,52.04,12.16,7.97,-3.88,6.2,1.64,-18.45
ENSUSDT,13.79,-2.69,49.7721,4.6282,50.73,3.87,-11.95,-17.97,5.08,-19.34,-28.92
LINAUSDT,0.00622,-6.91,45.8804,-1.2698,53.98,-26.2,-12.99,15.19,3.18,-18.58,-75.9
AVAXUSDT,13.17,-12.91,43.4045,-2.5167,50.87,-34.84,-14.7,23.61,1.86,-19.42,-82.04
SUSHIUSDT,1.317,-4.32,51.0689,0.4577,72.81,0.47,-6.33,-7.26,7.84,-15.13,-69.75
SANDUSDT,0.5816,-13.4,41.0914,-3.3727,58.51,-42.87,-18.46,29.94,1.38,-24.34,-85.38
DOTUSDT,5.42,-12.06,42.152,-8.4459,39.31,-26.78,-10.32,18.35,0.1,-11.63,-72.3
UNIUSDT,5.56,-12.21,44.7405,-11.465,42.25,-10.66,-10.68,-0.02,0.64,-12.68,-49.95
INJUSDT,1.609,-16.23,40.5308,-10.3621,81.77,-6.55,-17.35,-13.07,-2.39,-18.1,-62.76
RSRUSDT,0.00418,-9.86,41.6821,-1.8779,91.17,-35.48,-24.15,14.93,3.34,-36.25,-77.39
OPUSDT,0.915,-10.96,47.9327,-2.3479,61.73,nan,-0.82,nan,0.19,-1.02,-25.73
LTCUSDT,76.66,-5.1,65.67,32.1496,55.98,32.18,29.55,-2.04,6.12,18.08,-33.34
CRVUSDT,0.713,-7.26,51.6277,17.4629,98.98,-29.77,-9.09,22.75,8.06,-18.86,-79.4
LDOUSDT,1.101,-15.39,40.8053,-8.4027,73.4,-24.49,-19.3,6.43,-2.54,-20.76,-44.95
GMTUSDT,0.3925,-14.21,43.4787,-0.1272,77.81,-49.94,-18.68,38.44,1.11,-24.33,195.96
AXSUSDT,6.9,-11.04,42.1917,-4.2996,218.36,-51.33,-21.17,38.26,0.96,-28.06,-87.08
BCHUSDT,113.4,-3.81,55.5864,9.1434,31.12,-11.99,3.13,14.66,2.1,1.0,-60.58
EGLDUSDT,43.63,-8.22,42.0932,0.5995,34.23,-24.01,-15.12,10.47,1.5,-19.58,-71.09
HNTUSDT,4.67,-15.06,46.9437,-2.5052,34.55,-53.7,-3.27,52.13,-0.44,-2.93,-85.4
EOSUSDT,0.94,-3.17,47.3147,1.5119,40.43,-20.65,-7.54,14.18,2.4,-10.75,-60.08
GALAUSDT,0.026,-20.35,39.2795,-11.3536,46.33,-50.0,-21.55,36.26,-0.24,-27.17,-87.36
FTMUSDT,0.1941,-6.45,49.1056,3.3546,58.81,-29.53,-6.53,24.6,4.54,-11.85,-90.63
LITUSDT,0.743,-3.89,49.1426,4.7955,65.27,-4.92,-5.3,-0.41,4.24,-10.08,-48.11
AAVEUSDT,62.9,-7.49,46.5827,3.1148,63.6,-23.14,-13.72,10.92,4.6,-21.24,-61.58
ALGOUSDT,0.2477,-23.62,39.826,-11.9758,71.96,-26.52,-20.78,7.25,-2.01,-23.69,-74.37
