Symbol,Close,bb_high_price_%,rsi,roc,donchian_channel_wband,sma200_price_%,sma50_price_%,sma200_sma50_%,ema9_price_%,ema9_sma50_%,cumulative_return
ETHUSDT,1218.92,-0.06,60.3707,0.5146,1.11,1.6,0.51,-1.09,0.23,0.27,8.3
XRPUSDT,0.4036,-1.15,52.8984,0.2484,2.88,1.77,0.71,-1.05,-0.1,0.8,15.28
SOLUSDT,14.34,-0.49,53.6515,0.561,1.89,0.9,0.61,-0.28,0.09,0.52,21.53
MATICUSDT,0.8631,-0.15,60.0231,0.8412,1.63,1.4,1.16,-0.23,0.29,0.86,7.87
DOGEUSDT,0.10471,-3.16,67.9006,0.6537,11.68,19.48,9.93,-8.69,1.34,7.81,38.14
LINKUSDT,7.125,-0.58,51.545,-0.1122,2.38,3.69,-0.28,-3.98,0.26,-0.54,24.06
ATOMUSDT,10.221,-0.1,57.997,1.0579,1.55,1.73,0.53,-1.2,0.33,0.2,12.49
ETCUSDT,20.09,-0.19,56.5465,0.5003,2.55,0.09,0.48,0.4,0.2,0.28,13.12
ADAUSDT,0.319,0.06,62.8432,0.3776,1.2,1.07,0.92,-0.15,0.29,0.62,4.42
NEARUSDT,1.656,-0.06,66.9404,2.2222,2.63,0.84,1.87,1.01,0.68,1.16,8.66
CHZUSDT,0.1749,-0.36,58.9133,1.0983,2.71,-0.38,0.96,1.33,0.32,0.63,-9.47
APEUSDT,3.899,0.06,70.6621,3.5866,7.03,14.32,4.71,-9.18,1.19,3.36,30.31
BNBUSDT,313.3,-0.45,50.5528,0.0319,1.63,3.0,-0.03,-3.03,0.06,-0.09,21.11
ENSUSDT,13.79,0.98,83.9332,5.2672,6.05,4.99,5.04,0.05,2.46,2.46,14.92
LINAUSDT,0.00622,0.38,71.8058,2.3026,3.6,3.31,2.57,-0.72,1.05,1.48,9.51
AVAXUSDT,13.17,-0.23,72.7535,1.542,2.53,2.15,2.0,-0.15,0.42,1.56,10.67
SUSHIUSDT,1.317,-0.08,73.5693,4.8567,5.47,9.95,6.25,-3.48,1.41,4.56,15.02
SANDUSDT,0.5816,-0.53,58.992,0.6228,3.8,2.64,1.63,-1.0,0.07,1.53,8.95
DOTUSDT,5.42,-0.2,65.7004,1.3084,2.23,1.18,1.13,-0.04,0.4,0.72,4.03
UNIUSDT,5.56,-0.1,60.9884,1.6453,2.18,1.81,1.14,-0.66,0.49,0.65,4.12
