Symbol,Close,bb_high_price_%,rsi,roc,donchian_channel_wband,sma200_price_%,sma50_price_%,sma200_sma50_%,ema9_price_%,ema9_sma50_%,cumulative_return
ETHUSDT,1218.92,-0.82,60.9754,1.8125,5.35,-10.64,3.5,13.66,0.42,2.98,-7.34
XRPUSDT,0.4036,-2.58,57.136,-0.2964,10.3,-2.96,5.02,7.61,0.23,4.56,-21.93
SOLUSDT,14.34,-2.14,55.8942,0.773,7.46,-34.71,7.53,39.28,0.05,6.96,-55.99
MATICUSDT,0.8631,-0.64,56.2471,2.3358,6.14,-8.42,2.26,10.44,0.71,1.52,5.98
DOGEUSDT,0.10471,-0.05,79.145,16.9421,30.37,8.98,24.69,12.59,7.51,13.78,69.85
LINKUSDT,7.125,-1.91,64.7516,3.216,9.67,0.96,9.51,7.8,0.56,8.17,-4.43
ATOMUSDT,10.221,-1.11,58.6773,2.1487,6.79,-13.39,4.45,17.08,0.41,3.86,-22.26
ETCUSDT,20.09,-1.52,54.919,0.6513,6.62,-8.99,3.74,12.27,0.13,3.48,-25.51
ADAUSDT,0.319,-0.54,55.2532,0.9174,4.91,-11.75,1.26,12.85,0.58,0.66,-24.39
NEARUSDT,1.656,-1.22,52.7659,0.7912,7.07,-30.43,1.42,31.4,1.06,0.36,-52.6
CHZUSDT,0.1749,-2.04,42.6285,1.0983,6.88,-18.45,-6.95,12.36,0.42,-7.93,-18.8
APEUSDT,3.899,-0.62,78.3189,20.6001,23.4,1.61,18.25,14.07,5.51,10.77,-24.51
BNBUSDT,313.3,-2.31,70.1084,3.9482,7.72,4.73,9.52,4.37,0.41,8.32,13.35
ENSUSDT,13.79,1.76,67.7043,6.4043,7.89,-5.57,7.31,12.0,3.56,3.5,-22.18
LINAUSDT,0.00622,0.38,62.8171,2.9801,7.97,-11.77,5.09,16.04,1.96,2.97,-25.24
AVAXUSDT,13.17,-0.05,59.6924,2.1722,5.66,-14.17,4.21,17.63,1.28,2.81,-21.56
SUSHIUSDT,1.317,1.01,72.4223,12.9503,14.94,-7.91,10.82,16.9,4.79,5.44,-3.87
SANDUSDT,0.5816,-0.45,59.1508,3.2487,8.43,-16.21,3.2,18.8,1.16,1.97,-29.85
DOTUSDT,5.42,-0.42,55.1845,2.4575,4.12,-10.38,1.27,11.5,0.83,0.43,-14.1
UNIUSDT,5.56,-0.69,55.053,2.2059,6.22,-11.16,2.04,12.94,0.86,1.16,-14.59
INJUSDT,1.609,-2.98,47.4266,0.5625,8.11,-19.28,-1.18,18.31,0.2,-1.4,-19.15
RSRUSDT,0.00418,1.17,66.6242,6.0914,9.54,-18.71,6.25,23.5,3.24,2.83,-45.5
OPUSDT,0.915,-3.72,50.4288,0.2191,8.23,-8.96,1.87,10.63,-0.11,1.95,9.45
LTCUSDT,76.67,-3.37,54.7962,1.9277,8.81,22.39,7.36,-14.0,-0.16,7.0,45.24
CRVUSDT,0.713,-3.49,58.4512,4.5455,14.73,-5.5,14.93,17.78,0.61,12.46,-19.34
LDOUSDT,1.101,-3.76,44.5946,-1.0782,6.3,-18.36,-2.35,16.4,0.13,-2.54,-25.31
GMTUSDT,0.3925,-0.08,60.3319,2.7487,6.46,-12.94,2.46,15.03,1.53,0.91,-38.5
AXSUSDT,6.9,0.57,60.6576,3.2934,6.41,-13.46,2.84,15.85,2.0,0.82,-44.17
BCHUSDT,113.4,-3.02,52.4456,-0.0881,6.13,2.52,2.56,0.04,0.08,2.41,-2.99
EGLDUSDT,43.63,-1.97,58.8712,3.2663,7.27,-11.89,3.19,14.61,0.14,2.96,-18.96
HNTUSDT,4.67,-0.69,54.077,3.0905,16.01,-1.91,-1.56,0.35,1.83,-3.44,-32.81
EOSUSDT,0.94,-1.39,59.3988,0.4274,13.87,-6.5,4.21,10.28,0.5,3.56,-15.47
GALAUSDT,0.026,0.16,57.4086,4.1249,6.16,-18.91,1.28,19.93,1.51,-0.23,-36.04
FTMUSDT,0.1941,-0.16,65.7712,5.3174,9.49,-7.58,7.16,13.76,2.19,4.64,-12.37
LITUSDT,0.743,0.65,64.9128,5.3901,10.28,-9.26,6.65,14.91,2.81,3.6,-6.78
AAVEUSDT,62.9,-0.7,64.0815,6.0708,11.15,-11.48,7.74,17.84,2.11,5.22,-15.68
ALGOUSDT,0.2477,-0.39,53.9022,2.4824,6.47,-20.46,-0.99,19.66,1.12,-2.13,-26.02
FILUSDT,4.45,-0.8,59.5251,3.972,6.2,-8.83,2.9,11.41,0.98,1.87,-17.44
UNFIUSDT,4.391,-3.17,51.0373,0.0228,8.35,-12.31,1.26,13.4,0.54,0.71,-28.88
XLMUSDT,0.0906,-0.5,58.5175,1.0033,4.24,-8.58,2.63,10.93,0.78,1.8,-28.15
KNCUSDT,0.654,0.0,63.6985,6.8627,9.9,-10.7,8.27,17.52,2.3,5.52,-41.81
RUNEUSDT,1.207,-1.21,59.5173,1.5993,6.46,-10.27,3.03,12.91,0.48,2.47,-22.53
GLMRUSDT,0.3656,1.34,63.9497,6.094,10.27,-11.96,6.03,16.97,3.21,2.66,-25.45
COTIUSDT,0.0748,-0.76,56.8564,1.9074,5.69,-14.79,3.3,17.52,0.71,2.51,-33.27
TRXUSDT,0.05403,0.1,65.6516,2.1361,4.61,-5.23,3.97,8.85,1.04,2.81,-12.93
SLPUSDT,0.00257,0.35,63.6822,3.629,11.59,-11.56,3.46,14.52,1.74,1.67,-25.29
MANAUSDT,0.4072,-0.81,60.2348,3.8776,7.79,-23.03,3.68,25.76,0.99,2.59,-41.08
THETAUSDT,0.972,0.8,73.6208,5.6522,12.51,-5.33,9.68,13.69,3.45,5.68,-7.6
KAVAUSDT,0.871,-6.66,46.3343,-0.1147,12.08,-24.03,-0.94,23.31,-0.02,-0.93,-43.33
ICPUSDT,4.072,-0.25,62.5225,5.4376,9.02,-9.17,6.21,14.48,2.01,3.95,-29.91
FLMUSDT,0.0844,-0.09,64.3019,2.9268,5.95,-11.05,5.75,15.89,1.4,4.11,-25.9
RENUSDT,0.118063,-16.17,62.9136,12.4763,66.02,14.85,33.11,13.72,1.39,23.83,-5.17
TRBUSDT,12.62,-1.71,68.4269,5.4302,13.56,-5.79,10.99,15.12,2.37,7.77,-16.15
DYDXUSDT,1.812,-5.89,45.6907,-0.4396,15.04,-2.67,-3.46,-0.82,0.36,-3.96,45.43
MKRUSDT,656.0,-0.97,53.326,1.8634,5.08,-14.95,0.59,15.45,0.69,-0.1,-25.37
SNXUSDT,1.709,-2.74,51.9232,0.7071,9.29,-17.43,0.88,18.15,0.77,0.11,-22.77
WAVESUSDT,2.389,1.53,67.9753,8.3938,14.71,-13.3,7.48,19.34,4.51,2.77,-36.12
CVXUSDT,4.365,-0.79,58.5838,1.2057,6.53,-5.63,7.23,11.99,0.41,6.36,-21.86
MTLUSDT,0.778,-0.24,68.0116,4.4295,11.15,-6.96,7.48,13.44,1.5,5.57,-26.47
ZILUSDT,0.02331,-0.29,61.8862,2.0578,5.72,-10.23,4.43,14.04,1.65,2.66,-26.26
XTZUSDT,1.009,0.0,59.4448,2.5407,5.33,-14.76,2.63,16.94,1.2,1.39,-28.24
AGLDUSDT,0.278,2.22,71.7909,7.3359,15.59,-3.55,10.99,13.1,5.22,5.2,-14.46
ZECUSDT,42.2,-2.42,55.9553,1.6867,6.43,-7.18,3.2,10.06,0.91,2.22,-22.43
HBARUSDT,0.0506,-0.2,63.1434,3.055,6.05,-5.0,5.06,9.58,1.09,3.78,-16.09
RVNUSDT,0.02264,-1.68,55.3722,1.7528,7.2,-12.72,3.81,15.93,0.66,3.04,-35.75
FLOWUSDT,1.147,-0.35,53.4873,2.5939,4.69,-19.26,-0.21,19.09,0.88,-1.09,-31.93
VETUSDT,0.01924,-0.12,58.694,0.8915,4.41,-10.73,2.94,13.27,0.77,2.1,-16.09
SUNUSDT,0.00533,-1.94,58.3854,1.1385,18.05,-7.44,4.07,11.06,0.23,3.7,-9.66
DODOUSDT,0.124,0.56,62.2962,4.1142,9.35,-1.89,5.54,7.04,2.44,2.93,-5.49
GALUSDT,1.541,0.0,61.5505,6.2759,8.49,-13.23,8.04,19.69,1.92,5.67,-40.5
ENJUSDT,0.3132,0.02,62.3789,3.2641,7.74,-16.38,3.99,19.59,1.5,2.4,-29.89
XMRUSDT,137.6,-1.26,54.7701,0.5848,4.45,-1.53,2.53,3.97,-0.1,2.57,-6.78
KDAUSDT,0.981,2.65,72.9437,12.8884,31.4,-9.68,13.49,20.42,7.52,5.26,-29.53
FTTUSDT,1.4322,-41.03,25.1341,-31.1244,79.1,-92.68,-76.76,68.49,-5.58,-306.21,-93.92
COMPUSDT,38.57,-1.49,52.6589,1.4466,6.33,-11.74,0.94,12.56,0.38,0.56,-34.4
ALICEUSDT,1.282,-0.24,62.3749,4.143,7.96,-9.25,6.27,14.61,1.45,4.53,-25.12
1INCHUSDT,0.534,-0.83,56.0618,3.2882,9.73,-5.62,1.8,7.29,0.83,0.96,-11.0
DASHUSDT,41.84,-1.5,60.2339,2.7253,7.58,6.63,7.15,0.48,0.89,5.83,-1.32
STGUSDT,0.4388,-4.01,52.6447,1.2693,10.16,-2.1,2.88,4.85,-0.25,3.04,-11.53
KSMUSDT,26.83,-0.81,58.6775,1.6288,5.69,-9.54,5.19,14.0,0.5,4.45,-37.03
LRCUSDT,0.246,-0.74,57.1119,2.372,7.07,-7.92,2.88,10.5,1.01,1.82,-14.23
RNDRUSDT,0.542,0.88,74.4583,20.9821,28.73,-4.41,18.8,19.54,6.87,10.04,19.12
ONEUSDT,0.01434,-1.13,54.9765,1.2712,6.73,-13.0,2.48,15.11,0.38,2.05,-24.96
IOSTUSDT,0.0087,-1.61,53.9434,-0.4577,4.82,-10.91,2.46,13.05,-0.05,2.45,-26.02
STORJUSDT,0.3411,-1.59,54.1334,2.2176,6.75,-9.43,2.01,11.21,0.58,1.4,-27.81
SFPUSDT,0.4785,-2.12,47.2786,2.1781,14.29,2.76,-4.3,-7.37,0.95,-5.48,26.45
IOSTUSDT,0.0087,-1.61,53.9434,-0.4577,4.82,-10.91,2.46,13.05,-0.05,2.45,-26.02
SFPUSDT,0.4785,-2.12,47.2786,2.1781,14.29,2.76,-4.3,-7.37,0.95,-5.48,26.45
STORJUSDT,0.3411,-1.59,54.1334,2.2176,6.75,-9.43,2.01,11.21,0.58,1.4,-27.81
BLZUSDT,0.0622,-0.22,58.3049,1.4682,7.68,-8.43,4.23,12.15,1.16,2.95,-24.79
SRMUSDT,0.25971,-12.88,46.8639,-3.1005,43.1,-47.47,0.18,47.56,-0.71,0.89,-66.45
REEFUSDT,0.003067,-0.71,57.8902,3.1965,11.32,-25.92,3.09,28.14,1.18,1.85,-42.87
AUDIOUSDT,0.1618,1.06,67.1851,5.4072,7.86,-8.21,7.14,14.33,2.89,3.97,-20.3
YFIUSDT,6449.0,-2.14,58.8906,0.2643,10.19,-8.26,3.24,11.13,0.52,2.63,-19.81
BNXUSDT,148.1,-14.86,38.3957,-5.6087,18.58,-0.41,-5.12,-4.97,-1.16,-4.18,-6.27
IOTAUSDT,0.2172,-0.21,57.0185,2.8896,3.83,-7.86,0.82,8.62,0.75,0.07,-18.83
PEOPLEUSDT,0.02514,-3.25,59.6462,3.9702,14.79,10.45,7.54,-2.7,0.49,6.56,16.34
ARUSDT,9.55,-0.87,55.5373,3.1317,8.51,-10.27,1.24,11.38,1.18,0.07,7.79
BELUSDT,0.446,-0.9,58.7402,4.4496,8.02,-7.35,5.68,12.33,0.77,4.65,-23.76
C98USDT,0.2404,-1.14,52.9993,2.2544,7.14,-13.98,-0.01,13.98,1.45,-1.46,-32.09
NEOUSDT,7.0,-1.07,59.2863,1.5965,5.93,-7.09,3.49,10.22,0.41,2.98,-17.65
CHRUSDT,0.1155,-1.54,56.8264,1.4938,7.91,-10.9,3.97,14.3,0.64,3.2,-27.45
WOOUSDT,0.1232,0.55,64.0673,6.5744,9.07,-15.71,6.49,20.84,2.64,3.62,-12.38
GRTUSDT,0.0656,-1.57,62.324,5.9774,11.55,-9.58,9.59,17.49,1.66,7.23,-31.88
DARUSDT,0.13764,-0.53,59.538,2.9315,7.8,-17.89,4.16,21.17,0.94,3.09,-33.42
BAKEUSDT,0.1915,-0.29,61.9802,4.0761,6.6,-9.03,4.67,13.09,1.33,3.19,-20.21
BALUSDT,6.077,-3.95,58.8626,1.1822,51.32,0.5,7.56,6.56,-0.34,7.35,17.11
ANKRUSDT,0.0227,-2.27,53.4906,0.4425,5.63,-9.59,2.56,11.85,0.22,2.28,-25.11
SXPUSDT,0.2452,-0.36,64.8522,3.0252,10.07,-11.42,5.53,16.07,1.54,3.78,-29.36
XEMUSDT,0.0326,-3.93,49.0108,0.3077,7.32,-7.96,-0.26,7.72,0.04,-0.3,-20.87
OMGUSDT,1.208,-1.06,59.3414,2.6338,7.5,-12.97,4.72,16.89,0.91,3.64,-28.14
API3USDT,1.531,-0.52,63.1596,4.0082,9.61,-6.77,6.58,12.53,1.61,4.67,-13.26
MASKUSDT,3.152,-4.41,62.686,3.9235,28.38,5.1,14.56,8.26,3.39,9.75,174.8
LPTUSDT,7.68,-0.09,64.2527,2.6738,8.71,-7.97,5.31,12.61,1.66,3.47,-16.7
TLMUSDT,0.01578,0.26,61.6034,4.1584,6.98,-12.84,4.46,16.57,1.8,2.55,-31.45
YGGUSDT,0.2233,0.11,57.0998,4.6392,9.47,-14.8,2.97,17.26,1.98,0.97,-37.57
AKROUSDT,0.00296,0.11,63.3902,4.2254,15.53,-5.18,7.16,11.51,2.36,4.48,-19.57
ALPHAUSDT,0.0912,-1.1,58.4413,1.559,8.23,-11.95,4.12,15.43,0.69,3.29,-22.84
BSWUSDT,0.2137,-1.55,57.8164,2.7404,9.34,-6.84,4.0,10.43,0.25,3.61,-16.85
HOTUSDT,0.001655,-0.9,56.392,0.9762,7.28,-7.37,4.19,11.09,0.23,3.8,-16.92
IOTXUSDT,0.02282,-8.2,42.0268,-2.7695,40.95,-15.08,-3.11,12.35,0.11,-3.33,-19.56
BATUSDT,0.2326,-0.66,57.5687,2.0623,5.27,-12.31,2.61,14.54,0.75,1.81,-22.0
DUSKUSDT,0.0921,-0.93,60.7811,3.0201,8.44,-15.03,4.64,18.8,0.92,3.56,-29.86
CELRUSDT,0.01246,0.34,69.4409,5.4146,18.68,-6.35,7.65,13.0,2.35,4.92,-17.48
QTUMUSDT,2.206,-0.69,61.2366,0.364,7.44,-9.64,4.26,13.34,0.75,3.37,-21.97
CELOUSDT,0.659,0.83,80.9553,30.754,44.37,12.7,31.2,14.1,10.1,16.09,-14.75
ICXUSDT,0.1739,-0.99,58.7466,-0.1149,5.51,-8.96,4.83,13.16,0.69,3.95,-26.87
ASTRUSDT,0.0406,-0.92,57.6269,5.4545,25.04,3.85,5.36,1.43,1.46,3.69,10.03
BANDUSDT,1.918,-3.66,64.1081,12.3609,21.73,4.45,9.45,4.57,1.58,7.19,59.83
CTSIUSDT,0.1105,0.05,61.9711,2.5046,5.65,-8.8,5.45,13.51,1.49,3.75,-23.05
CTKUSDT,0.786,-0.06,65.7003,4.244,7.36,-1.4,4.3,5.46,1.68,2.51,-7.53
PAXGUSDT,1751.0,-0.49,52.1613,0.0571,1.54,2.76,0.33,-2.42,-0.04,0.37,3.73
ZENUSDT,9.81,-1.59,63.2998,7.3304,8.64,-14.48,5.47,18.91,1.11,4.13,-27.65
ROSEUSDT,0.04796,0.59,64.5375,6.1062,8.3,-11.11,5.16,15.48,2.67,2.37,-17.96
OGNUSDT,0.1063,-1.21,62.1354,3.4047,8.76,-13.3,5.15,17.54,0.93,4.02,-30.43
IMXUSDT,0.447,-0.38,61.0013,6.4286,9.07,-11.66,5.58,16.33,2.38,3.04,-38.6
ACHUSDT,0.00949,-2.1,48.9758,0.0,8.93,-10.82,-0.24,10.6,0.08,-0.32,-14.04
ANTUSDT,1.833,-2.23,49.1795,1.1589,6.35,-1.84,-1.57,0.28,0.88,-2.49,9.17
REQUSDT,0.0899,-0.95,56.9184,1.9274,11.26,-6.65,3.36,9.69,0.39,2.88,-12.55
SKLUSDT,0.02694,-0.78,59.0249,2.7068,7.52,-15.29,4.34,18.81,0.86,3.34,-29.55
CVCUSDT,0.1001,-1.02,54.7596,-0.1994,7.73,-7.47,2.17,9.43,0.42,1.71,-23.59
ZRXUSDT,0.1942,-2.99,51.5284,0.5176,18.73,-10.72,1.76,12.26,0.1,1.64,-28.23
TOMOUSDT,0.3214,-0.24,60.1571,4.0129,8.58,-11.06,5.51,15.7,1.56,3.74,-27.66
ONTUSDT,0.1824,-0.75,57.1648,0.885,6.59,-7.34,3.12,10.14,0.54,2.5,-18.64
ARPAUSDT,0.02814,-1.36,60.6485,3.5701,8.88,-7.93,4.39,11.8,0.64,3.59,-16.89
FXSUSDT,4.602,-1.59,55.2119,0.0217,6.95,-15.87,2.47,17.89,-0.14,2.55,-9.16
ILVUSDT,40.3,-2.68,50.5329,2.8061,18.23,-22.89,-0.69,22.35,0.55,-1.25,-27.91
DENTUSDT,0.000706,0.04,61.8127,3.2164,6.68,-8.49,4.37,12.32,1.5,2.75,-23.59
JSTUSDT,0.02248,-1.1,57.1069,-0.2219,10.38,-9.4,3.15,12.17,0.39,2.67,-11.77
OCEANUSDT,0.137,-1.09,64.8554,4.0243,10.04,-13.8,6.74,19.25,1.44,4.97,-13.89
SCRTUSDT,0.757,-7.54,56.671,10.0291,41.89,-5.59,9.46,13.74,0.19,8.46,-18.51
GTCUSDT,1.717,-1.52,58.3045,1.718,12.85,-8.17,4.85,12.42,1.55,3.14,-4.66
SPELLUSDT,0.0006296,-1.86,50.6514,0.3347,9.56,-16.52,0.24,16.71,0.43,-0.19,-36.74
KLAYUSDT,0.1818,-2.63,54.6292,2.4803,7.83,-10.74,4.04,14.21,-0.19,4.07,-2.88
STMXUSDT,0.005248,-1.65,52.3023,1.4695,4.94,-10.32,1.49,11.63,-0.07,1.53,-28.26
JASMYUSDT,0.003952,0.39,59.4087,3.0508,6.07,-11.96,2.43,14.05,2.07,0.35,-36.85
XNOUSDT,0.793,-10.01,49.5045,-5.3699,36.08,13.17,7.81,-4.97,-0.61,7.81,-0.13
STXUSDT,0.242,-0.17,63.4183,1.2552,11.85,-9.93,5.09,14.29,1.51,3.4,-26.22
RAYUSDT,0.2135,-5.43,46.2028,-1.0199,12.54,-38.71,0.76,39.17,-1.23,1.98,-61.46
MINAUSDT,0.554,-0.6,57.2657,3.5514,5.52,-9.4,2.15,11.31,1.01,1.12,-4.81
